Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10
P22087	1	FBL	0.9996	23.26696336782058	23.229262073074906	23.238891299957164	23.249972087557392	23.280450113635585	23.28423235015342	23.44896917445766	23.344544839721053	23.149235369717044	23.29363491586502	23.210651008034333
P23246	1	SFPQ	0.9444	26.05002821676833	26.251709839265118	26.16610937664789	26.18090171090533	26.05563497410171	26.076545300806238	25.86607373860437	25.95622985921897	25.941578270073624	25.802925534173163	26.01342338390526
P25705	2	ATP5F1A	0.9999	27.714903225930982	27.77274592106286	27.769618481755916	27.89218311599266	27.74045108580512	27.618224076522793	27.665949229661926	27.69854321293171	27.61260881106102	27.708724828377633	27.697395530921245
P27348	1	YWHAQ	0.9984	23.193903426373584	22.962325913149744	22.953188921437228	22.753836089747796	23.278044983289302	23.242159755818445	23.49555048203132	23.35524449802828	23.34601498441705	23.478964573658086	22.99059236530283
P27824	2	CANX	0.9995	27.792038727469432	27.972627689666655	27.95609650240967	28.08924826548663	27.672044925733942	27.724389644275757	27.54129978697213	27.669419732065002	27.687499435749693	27.712441211289622	27.79165293634443
P30084	1	ECHS1	0.9997	25.16599553201513	25.354550311091636	25.329888617120623	25.181709967956643	25.060006723034853	25.362870920162933	25.142406873426403	25.008854044227842	25.00795866874864	24.92744366037057	25.10816972901342
P30101	1	PDIA3	0.9693	25.785936837384458	25.782362493151847	25.817693037185766	25.706134446764107	25.755188867318793	25.896264740696285	25.84168565281194	25.719460322999648	25.775719698540247	25.72323974169127	25.786322628509467
P30838	1	ALDH3A1	0.9779	22.72142238800364	22.594971756219834	22.438721540897163	22.499502323915234	22.769844815368813	22.7894803566717	22.678103583426825	22.88325966544529	22.927763908970572	22.789895547073456	22.66903072087073
P31942	2	HNRNPH3	0.9999	26.19079231278683	26.077210632991996	26.149226898735936	26.22823199335568	26.182375079231925	26.209199087367587	26.33399125744911	26.18883247408008	26.14752673953304	26.273018369433764	26.198979475586743
P33992	1	MCM5	0.997	21.68916753726353	21.51868205196088	21.562516986859332	21.50161741025133	21.763176332979945	21.367331019872402	21.817127601805982	21.82431512327687	21.974078481589004	22.056566167420627	21.505082054459457
P35232	1	PHB1	0.9999	24.223664621202797	24.13064041661626	24.30074448322844	24.71109008411721	24.128783306377528	24.130485955466767	24.329314559040345	24.206058244641476	24.261139459416526	24.074902677053412	24.105970225994387
P35268	1	RPL22	0.9027	23.608774105500036	23.88201136337408	23.642168594306025	23.705285647046082	23.48729835947692	23.534542840216353	23.396411274388303	23.58578178361997	23.531278852528494	23.687012781992575	23.573656825233357
P35637	1	FUS	0.9827	25.783786691405844	25.80606172457331	25.88371697101342	25.740315062415995	25.835451692724387	25.823797518659646	25.628366477117	25.81807353205395	25.739530916045585	25.635278597908673	25.740600659258973
P36542	2	ATP5F1C	0.9725	24.61405119997984	24.587095515694326	24.71755979396572	24.684622327668784	24.592159756487767	24.526350706077835	24.5567929102483	24.56336980100524	24.561551978437084	24.63434399734294	24.700232784788646
P36578	2	RPL4	0.9962	26.78853423737619	26.866111151078087	26.879018750908696	26.782563709471546	26.76216340421794	26.696743179029262	26.703911648928223	26.783209504067607	26.743048828930913	26.740029089616257	26.83988634100036
P37802	1	TAGLN2	0.9767	25.365194474027483	24.57307196264772	24.644044128927582	24.677047801758043	25.593664588413425	25.446152199717787	25.411693781767518	25.716205383655453	25.77437936685136	25.60062576604996	25.428007649734663
P37837	1	TALDO1	0.9948	21.753415905291746	21.379612610181187	21.31486379085128	21.337635911539657	21.844431588562525	21.8267236731869	21.823969087271806	22.01539819296532	21.9818154964906	21.923801318011222	21.786706194682374
P38646	3	HSPA9	0.9994	27.2853523518513	27.54915654764637	27.3771571273776	27.220861982026967	27.215606334654716	27.258005611987482	27.24628768229867	27.155349971592912	27.132325940665876	27.187492298987852	27.336511454715577
P39019	1	RPS19	0.9712	26.05079928424452	26.203120994873654	26.05232257247752	26.08920202605018	25.93794787767879	25.971769761717376	25.859273751124128	26.142667315586223	26.100298774235128	26.029993819317873	26.01494346532519
P39687	1	ANP32A	0.9949	25.168661880584448	25.28611091909569	25.29625358319041	25.310974576688935	25.116630333948404	25.114629960060963	24.78363098235525	24.99187897327529	25.10603666241486	25.26581583118536	25.282944851192276
P40926	2	MDH2	0.9944	27.88082449171608	28.05196023658985	28.015088931849327	27.855035789741272	27.882461514596894	27.83507858536507	27.768187365066826	27.849951318667877	27.82440719655947	27.709570370978295	27.83676669511155
P40939	1	HADHA	0.924	22.672303692072994	22.767657707291175	22.53063912824977	22.740683259492318	22.730618363209953	22.594513811736945	22.725669629522546	22.455342306692142	22.726588757743222	22.562027287400653	22.83165895818729
P42704	1	LRPPRC	0.9774	25.06877708543212	25.305996035284014	25.29560659443598	25.18764417799745	25.080191927839312	25.063484767100178	24.88818245088617	24.94428310876808	24.9705927487372	24.76081549699446	24.944808169500412
P43243	1	MATR3	1.0	24.476866279719793	24.521584043171604	24.537829407480437	24.81157987657255	24.6402024832332	24.59705991926627	24.344799555499524	24.326867284243228	24.315439370792443	24.428721864816957	24.240704188950534
P46940	1	IQGAP1	0.979	22.549227638110168	22.269987544437175	22.43053176678168	22.70593367051696	22.48583216942306	22.673392591665504	22.649369995495295	22.591943960965484	22.54607010573922	23.020759600596204	22.362138107230297
P49411	2	TUFM	0.9991	25.548649528585493	25.586750061083762	25.637930737243398	25.54335765017885	25.54930675276403	25.504231842122312	25.478788317034518	25.470862184667073	25.500627801514607	25.46635737621494	25.632396061665034
P49773	1	HINT1	0.92	22.330261710674154	21.83529068572873	21.984765787845102	21.71092676075378	22.329604486495615	22.486137134035566	22.523824573190108	22.663625325495605	22.483652756990644	22.629944524419738	22.312956934137045
P51148	2	RAB5C	0.9998	23.33231344919968	23.33588779343229	23.469259696379453	23.459457493734	23.244800896385886	23.286560367339373	23.102812698014468	23.289181705923365	23.440431540562578	23.096238635058263	23.360269605454008
P51991	1	HNRNPA3	0.9753	25.491934745127903	25.38174328986303	25.381138892852807	25.725666930218136	25.56244001924065	25.466193062949156	25.735196171471042	25.407980702874404	25.388240756333452	25.52911724492635	25.5232248535673
P52815	1	MRPL12	0.9826	24.71479158475005	24.871350983273633	24.932010092981677	24.681757450313455	24.651529185626938	24.661077306101305	24.596267594735064	24.575434438858213	24.512402791420147	24.821563663136118	24.7638040252608
P54819	1	AK2	0.9928	23.97862121912152	24.137427047897	24.18177948220567	23.897655085961464	23.82607344069461	23.990388994389225	23.674343274853598	23.84684463931803	24.043523939953165	24.050668370007493	23.945710387436442
P55072	2	VCP	0.9989	23.606600544326646	23.36938780065648	23.36232945393094	23.40581720921193	23.65777733485247	23.663384393090883	23.603187996748407	23.725746529170927	23.729479422005333	23.703086010129173	23.690452135967035
P55769	1	SNU13	0.9156	24.707128845166093	24.588142786282198	24.74428070899131	24.79439037158465	24.662095398929257	24.867505930292758	24.728272811810402	24.56550794174904	24.74699708592118	24.765704722574025	24.66408888939171
P56537	1	EIF6	0.9993	22.28308105469727	22.061325457621297	22.379060096151953	22.37565810382636	22.070182670555063	22.23880383527963	22.53567850314325	22.225857194438113	22.321840770118097	22.534796194601107	22.303560277010046
P60174	1	TPI1	0.9137	25.836559218452635	24.912929054950332	24.975277983251004	24.97249196026232	26.01078951690854	25.951121697456703	25.87759821916959	26.29546469065207	26.320002550998485	26.154075246292788	25.846277873118495
P60709	4	ACTB	0.9999	29.12098264103936	28.95518236186252	28.985795670653516	29.138969310917457	29.179388398134698	29.127217795541597	29.22653315521862	29.160458711431264	29.14198661071012	29.209399379581452	29.116699371276564
P61247	1	RPS3A	0.9603	25.457934632981335	25.54428994631972	25.449449808712163	25.405829153333848	25.465211915142802	25.50672263051674	25.144637548835355	25.46055475926642	25.486922829718207	25.411995290614886	25.48315476696428
P61604	1	HSPE1	0.9517	27.01155870972323	27.058551518871074	27.125311941379632	27.171149832135583	27.07581798340509	26.862416043631804	27.147125166311717	26.88686855895869	26.967452724866746	26.756256648954572	27.02837046967102
P61978	1	HNRNPK	1.0	27.14183001660195	27.256422832115213	26.923144937480274	27.12553864565347	27.213666437944028	27.140454551145996	27.132462654654056	27.240848716901642	27.157121426463775	27.30226733301115	26.93947927225772
P62263	1	RPS14	0.9095	22.685693583000965	22.73590330993147	22.665898022773806	22.675283147072694	22.746599263614225	22.75252763369104	22.352231232897932	22.797963831779388	22.477580002157186	22.664844798274533	22.754898120909697
P62280	1	RPS11	0.9322	25.06037845461287	25.184459185588636	25.149583359609043	25.066540438182685	25.045711027608093	24.98068027328012	24.91394002485776	25.096310690522056	25.03906869333147	24.91049390484983	25.054792380918997
P62906	1	RPL10A	0.9661	23.13938795009109	23.080395068295573	23.197624714681407	23.003862895197503	22.92554785897163	23.269152911536253	23.223480631907965	23.244616674385878	23.164930501825843	23.041684615136294	23.139925940230853
P68371	2	TUBB4B	0.9992	24.20566012013098	23.83659499564186	23.98213685693293	24.005524357243562	24.244873625075684	24.22355872679118	24.277041995353596	24.38459145760529	24.315243962481166	24.483073205884523	24.240673687637244
P78527	1	PRKDC	0.9938	22.824256458702436	22.684867978629846	22.77276200685366	22.798535271627223	22.770661973842675	22.87547992628151	22.895281824809462	22.840784799800055	22.861913723650506	22.914387355103386	22.867950035148837
Q00610	1	CLTC	0.9996	23.542319992789984	23.839495999835812	23.50901149878928	23.150680440667966	23.411844666418517	23.41279433515538	23.7150191287298	23.50960623540696	23.46925339011039	23.68098868086574	23.592791343188118
Q08170	1	SRSF4	0.9996	22.292450524313146	22.46924124566872	22.51758076197951	22.44969366247877	22.30450630139344	22.29962013990904	22.350763974760962	22.140009089206607	22.04463002817065	22.041797826809287	22.211043876970148
Q09666	1	AHNAK	0.9902	24.558948225582288	24.477762839329127	24.524088067628544	24.38098713662267	24.68514973420019	24.554314807370773	24.604576652612998	24.532773964395062	24.70435674623949	24.52595791297233	24.485066233220717
Q12905	2	ILF2	0.9849	24.33104801014006	24.352021635941053	24.032781636218473	24.37826370821474	24.344124845114365	24.373736566709262	24.283681633722985	24.340749921314092	24.343375224884255	24.4029649668012	24.412972590014693
Q12906	2	ILF3	0.9969	25.830566410002383	25.87175800478102	25.929303777634708	25.83483575009134	25.854181183359994	25.850995572695354	25.68036305199516	25.776640375759623	25.79186733673727	25.654928860591387	25.870460315103646
Q13263	1	TRIM28	1.0	24.393976174374078	24.301620775837698	24.059657712270493	24.59935424684411	24.31615726703951	24.449513204130437	24.52732187738293	24.513687364020797	24.37522714817956	24.66157737741927	24.338761481215073
Q13813	1	SPTAN1	0.9692	21.71201458877012	21.737379869915788	21.669317215202344	21.758019254705143	21.768754624316202	21.59408096458581	21.763305604671338	21.772206291201385	21.668085446786634	21.636184910335352	21.732696987390774
Q15084	3	PDIA6	0.9917	26.018511136489344	26.252190448875094	25.96650275002739	26.196252923446277	26.068312090387113	25.91697397173542	25.72016587172751	25.971330369900734	25.988923292991373	25.92069967420468	25.99721271479908
Q15149	1	PLEC	0.9379	25.100986002580637	25.30473811840919	25.18135902924082	25.17142612028243	25.06143466808409	25.07844433211945	24.842023010738764	25.015743660972383	25.02341355769271	25.044628669297982	25.132812787172362
Q15233	1	NONO	0.9993	23.286503821312408	23.230204809341327	23.239914140028585	23.395632322503317	22.981457264150446	23.302420330409547	23.308595109623372	23.381123544934965	23.338032198549186	23.415379862188825	23.353531628762962
Q15424	1	SAFB	0.9934	24.477400208298363	24.424937955431325	24.5587540185006	24.999429059547378	24.575886241900726	24.449835889165847	24.486594402631376	24.3947103817187	24.203951732069836	24.417946707645033	24.38000532900044
Q15717	1	ELAVL1	0.9984	24.307405500495538	24.352077561637497	24.368963406785856	24.285712030888728	24.302259821012647	24.294770105675344	24.219984315789688	24.28522808807066	24.291706619631196	24.17020814952939	24.367983604312645
Q16836	1	HADH	0.9814	23.245704094560192	23.42969892500273	23.47952103416284	23.397514030940293	23.128173821393112	23.255250452875334	23.138395045493272	23.245715617850653	23.07084428130053	23.102216924348276	23.108599336722573
Q16881	1	TXNRD1	0.9935	22.851966927589654	22.316998515631067	22.50360222380426	22.59241361368758	22.912864796699843	22.912663104969074	22.826965547533362	23.172152789306477	23.059661334344177	23.137886205338134	22.850729868567367
Q1KMD3	2	HNRNPUL2	0.9957	24.406240588048792	24.360366668956605	24.45916130430689	24.571281356604626	24.35261659342188	24.424565077034526	24.369113320426294	24.34326509536796	24.473915433041835	24.407700815266985	24.340582788380946
Q8IWS0	1	PHF6	0.9999	24.836493382760075	24.916013507007435	24.855900567243392	24.88376085415126	24.947154157320337	24.784860295402616	24.236593166451414	24.86193861326014	24.822157862824106	24.832753182096877	24.88278094684984
Q8WU39	1	MZB1	0.9999	24.23403811058405	23.853796753154747	24.374243746045668	24.28554651851158	24.168057270703066	24.233756500171467	24.605231151012877	24.103387706658864	24.337402876282773	24.17961196144735	24.2694428259962
Q92841	1	DDX17	0.9908	24.018271565994525	24.222181207122837	24.087752208987965	23.987730898648262	23.989526131758545	24.152689309802675	23.745951727323202	23.959645829448956	23.894160638488813	23.70679854399578	24.08212146459805
Q92973	2	TNPO1	1.0	26.508334566738167	26.396026322785797	26.320362690874617	26.300805969130867	26.49967709201706	26.60989271436688	26.515960734826496	26.60382713984578	26.556303280785468	26.74347075128855	26.47230194839682
Q96AG4	1	LRRC59	0.9986	25.261068587481564	25.364371291038605	25.208579128646104	25.460754330656158	25.202877091462703	25.192610608599967	25.189006797047867	25.261057064191103	25.209585560452442	25.27455401970437	25.289035323609788
Q99714	1	HSD17B10	0.9543	24.35575639856197	24.49578246898803	24.579997594329843	25.180957285637803	24.217523253229036	24.22548865635652	24.040524280149203	24.13052253279878	24.24837467912053	24.307750855493634	24.12977662286299
Q9UHD8	1	SEPTIN9	0.9445	22.61388590962227	22.333072596035777	22.205052625761095	22.561268035187002	22.522703866125543	22.558249325054845	22.617298457200512	22.88638066583642	22.86460907527367	22.938640805396062	22.614845046942424
Q9UHX1	1	PUF60	0.9947	25.30408936405774	25.259703928147786	25.157842349883303	25.547480263177366	25.22779896496352	25.472439591085553	25.32007421874665	25.254028603952236	25.23126505019476	25.494865627104733	25.245665693765048
Q9UQE7	1	SMC3	0.9939	22.540348570790464	22.642690689762816	22.573548859224854	22.51768579050985	22.47033570583876	22.559140254704207	22.59498600032774	22.461531016582253	22.49223960665756	22.598094067619048	22.522102323329598
Q9Y2W1	1	THRAP3	0.9792	23.924025491966855	24.055427591553624	24.013232237874654	23.842891566366678	23.911695676163028	24.000075328294063	23.9440650261791	23.836630080855603	23.877582441483156	23.89460910494438	23.80238589786082
Q9Y6V7	1	DDX49	0.998	25.91765985863791	26.059175883465684	26.040000500555557	25.96530002091691	25.944037066803116	25.92787285640166	25.780080561390886	25.81601712303703	25.768483404814667	25.88939552074238	25.897025430980033
